,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
178,9,2,55,178,1,4,35840,443.0,375.0,0.4008129835128784,3,0,1,0
179,9,2,54,179,1,4,29696,443.0,375.0,0.515608012676239,9,0,1,0
180,9,2,55,180,1,4,20480,443.0,375.0,0.466882050037384,5,0,1,0
181,9,2,55,181,1,4,30720,443.0,375.0,0.2489989995956421,4,0,1,0
182,9,2,56,182,1,4,7168,443.0,375.0,0.3173930048942566,2,0,1,0
183,9,2,55,183,1,4,16384,443.0,375.0,0.3498600125312805,2,0,1,0
184,9,2,55,184,1,4,17408,443.0,375.0,0.5167770385742188,5,0,1,0
185,9,2,56,185,1,4,33792,443.0,375.0,0.1491940021514892,1,0,1,0
186,9,2,54,186,1,4,34816,443.0,375.0,0.3676609992980957,6,0,1,0
187,9,2,54,187,1,4,8192,443.0,375.0,0.5176059603691101,8,0,1,0
188,9,2,55,188,1,4,38912,443.0,375.0,0.1311669945716858,1,0,1,0
189,9,2,60,189,1,4,13312,443.0,375.0,0.3837089538574219,0,0,1,0
190,9,2,57,190,1,4,5120,443.0,375.0,0.1001830101013183,1,0,1,0
191,9,2,55,191,1,4,25600,443.0,375.0,0.2994059920310974,2,0,1,0
192,9,2,54,192,1,4,31744,443.0,375.0,0.531387984752655,9,0,1,0
193,9,2,56,193,1,4,4096,443.0,375.0,0.1167050004005432,1,0,1,0
194,9,2,54,194,1,4,36864,443.0,375.0,0.5174809694290161,9,0,1,0
195,9,2,59,195,1,4,27648,443.0,375.0,0.449500024318695,0,0,1,0
196,9,2,59,196,1,4,21504,443.0,375.0,0.3503780364990234,0,0,1,0
197,9,2,54,197,1,4,14336,443.0,375.0,0.4016079902648926,6,0,1,0
198,9,2,54,198,1,4,24576,443.0,375.0,0.2164830565452575,7,0,1,0
199,9,2,54,199,1,4,28672,443.0,375.0,0.4023380279541015,3,0,1,0
200,9,2,55,200,1,4,55296,443.0,375.0,0.1172659993171691,1,0,1,1
201,9,2,55,201,1,4,64512,443.0,375.0,0.6008389592170715,5,0,1,1
202,9,2,54,202,1,4,81920,443.0,375.0,0.2316349744796753,7,0,1,1
203,9,2,55,203,1,4,44032,443.0,375.0,0.3508149981498718,3,0,1,1
204,9,2,54,204,1,4,56320,443.0,375.0,0.2824240326881408,7,0,1,1
205,9,2,55,205,1,4,80896,443.0,375.0,0.4173899888992309,3,0,1,1
206,9,2,55,206,1,4,66560,443.0,375.0,0.6832019686698914,5,0,1,1
207,9,2,54,207,1,4,68608,443.0,375.0,0.3004419803619385,7,0,1,1
208,9,2,55,208,1,4,60416,443.0,375.0,0.201041042804718,1,0,1,1
209,9,2,55,209,1,4,65536,443.0,375.0,0.5661839842796326,3,0,1,1
210,9,2,54,210,1,4,63488,443.0,375.0,0.9825350046157836,9,0,1,1
211,9,2,54,211,1,4,57344,443.0,375.0,0.5333840250968933,8,0,1,1
212,9,2,56,212,1,4,43008,443.0,375.0,0.1319739818572998,1,0,1,1
213,9,2,54,213,1,4,46080,443.0,375.0,0.5334630012512207,8,0,1,1
214,9,2,54,214,1,4,69632,443.0,375.0,0.4492110013961792,3,0,1,1
215,9,2,59,215,1,4,48128,443.0,375.0,0.465923011302948,0,0,1,1
216,9,2,55,216,1,4,62464,443.0,375.0,0.4840199947357178,2,0,1,1
217,9,2,54,217,1,4,70656,443.0,375.0,0.5494910478591919,6,0,1,1
218,9,2,55,218,1,4,52224,443.0,375.0,0.2821730375289917,4,0,1,1
219,9,2,55,219,1,4,47104,443.0,375.0,0.4163880348205566,2,0,1,1
220,9,2,54,220,1,4,49152,443.0,375.0,0.4167909622192383,6,0,1,1
221,9,2,54,221,1,4,54272,443.0,375.0,0.6660299897193909,8,0,1,1
